iter	Passed	Remaining
737	3386	1202
738	3390	1197
739	3394	1192
740	3398	1187
741	3401	1182
742	3405	1178
743	3410	1173
744	3416	1169
745	3423	1165
746	3430	1161
747	3434	1157
748	3442	1153
749	3446	1148
750	3450	1144
751	3455	1139
752	3459	1134
753	3463	1129
754	3467	1125
755	3471	1120
756	3475	1115
757	3479	1110
758	3483	1106
759	3487	1101
760	3491	1096
761	3495	1091
762	3499	1087
763	3503	1082
764	3508	1077
765	3512	1073
766	3516	1068
767	3521	1063
768	3525	1058
769	3529	1054
770	3533	1049
771	3537	1044
772	3541	1040
773	3545	1035
774	3549	1030
775	3554	1025
776	3558	1021
777	3562	1016
778	3567	1011
779	3571	1007
780	3575	1002
781	3579	997
782	3583	993
783	3587	988
784	3591	983
785	3595	978
786	3602	974
787	3609	971
788	3613	966
789	3617	961
790	3621	956
791	3628	952
792	3631	948
793	3635	943
794	3639	938
795	3644	933
796	3648	929
797	3652	924
798	3656	919
799	3660	915
800	3664	910
801	3667	905
802	3672	900
803	3676	896
804	3680	891
805	3684	886
806	3689	882
807	3693	877
808	3697	872
809	3701	868
810	3705	863
811	3709	858
812	3714	854
813	3718	849
814	3722	845
815	3726	840
816	3731	835
817	3735	831
818	3739	826
819	3743	821
820	3747	817
821	3751	812
822	3755	807
823	3760	803
824	3764	798
825	3768	793
826	3773	789
827	3777	784
828	3783	780
829	3788	775
830	3795	771
831	3803	768
832	3809	763
833	3816	759
834	3821	755
835	3825	750
836	3835	746
837	3845	743
838	3855	739
839	3866	736
840	3876	732
841	3885	729
842	3895	725
843	3904	721
844	3916	718
845	3931	715
846	3939	711
847	3948	707
848	3960	704
849	3969	700
850	3978	696
851	3985	692
852	3999	689
853	4008	685
854	4015	681
855	4024	677
856	4028	672
857	4034	667
858	4039	662
859	4043	658
860	4047	653
861	4051	648
862	4055	643
863	4060	639
864	4064	634
865	4068	629
866	4072	624
867	4077	620
868	4081	615
869	4085	610
870	4089	605
871	4094	601
872	4098	596
873	4102	591
874	4106	586
875	4111	581
876	4115	577
877	4119	572
878	4124	567
879	4127	562
880	4131	558
881	4135	553
882	4152	550
883	4157	545
884	4161	540
885	4166	536
886	4170	531
887	4174	526
888	4179	521
889	4183	517
890	4187	512
891	4193	507
892	4200	503
893	4207	498
894	4211	494
895	4216	489
896	4222	484
897	4226	480
898	4230	475
899	4235	470
900	4239	465
901	4243	461
902	4248	456
903	4253	451
904	4258	446
905	4262	442
906	4267	437
907	4270	432
908	4275	427
909	4279	423
910	4283	418
911	4287	413
912	4291	408
913	4295	404
914	4299	399
915	4303	394
916	4307	389
917	4311	385
918	4316	380
919	4320	375
920	4325	370
921	4328	366
922	4333	361
923	4337	356
924	4341	352
925	4345	347
926	4349	342
927	4353	337
928	4357	333
929	4361	328
930	4366	323
931	4370	318
932	4377	314
933	4384	309
934	4391	305
935	4397	300
936	4401	295
937	4408	291
938	4412	286
939	4417	281
940	4422	277
941	4426	272
942	4430	267
943	4434	263
944	4439	258
945	4443	253
946	4447	248
947	4452	244
948	4456	239
949	4460	234
950	4465	230
951	4470	225
952	4474	220
953	4479	215
954	4483	211
955	4487	206
956	4492	201
957	4496	197
958	4500	192
959	4504	187
960	4509	183
961	4513	178
962	4517	173
963	4521	168
964	4526	164
965	4530	159
966	4534	154
967	4538	150
968	4542	145
969	4547	140
970	4551	135
971	4556	131
972	4561	126
973	4567	121
974	4574	117
975	4580	112
976	4584	107
977	4589	103
978	4593	98
979	4597	93
980	4601	89
981	4605	84
982	4609	79
983	4613	75
984	4617	70
985	4622	65
986	4626	60
987	4630	56
988	4634	51
989	4638	46
990	4643	42
991	4647	37
992	4651	32
993	4655	28
994	4659	23
995	4663	18
996	4668	14
997	4672	9
998	4676	4
999	4683	0
